window_id,t_start_s,t_end_s,label,config,mean_IAT_us,IAT_variance_us2,mean_frame_size_B,burst_length,frame_count,phase_offset_mean_us,phase_offset_std_us,gate_drop_rate,meter_red_rate,queue_depth_max,sync_interval_mean,sync_interval_var,correction_field_delta,announce_rate,source_count
0,0.0,0.01,5,AggregateLoadAttack,55.34338983050847,1189.491694723738,427.10674157303373,8,178,294.065393258427,136.28028633233376,0.0,0.0,81.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,5,AggregateLoadAttack,55.732290502793305,1119.1408813457697,425.65555555555557,8,180,293.60488888888887,137.21582669684557,0.0,0.0,154.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,5,AggregateLoadAttack,55.732290502793305,1149.897636653043,425.65555555555557,8,180,292.8168888888888,136.35377271107401,0.0,0.0,227.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,5,AggregateLoadAttack,55.73229050279328,1149.8976366530278,425.65555555555557,8,180,292.42933333333343,136.41226312420233,0.0,0.0,300.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,5,AggregateLoadAttack,55.73229050279328,1119.140881345775,425.65555555555557,8,180,293.2173333333332,137.08293286101596,0.0,0.0,373.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,5,AggregateLoadAttack,55.732290502793326,1149.8976366530494,425.65555555555557,8,180,292.2226666666669,136.01058884268275,0.0,0.0,447.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,5,AggregateLoadAttack,55.53743016759775,1160.4258861333744,423.23333333333335,8,180,292.6231111111109,136.1499426012402,0.0,0.0,520.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,5,AggregateLoadAttack,55.53743016759783,1155.2815732842303,425.65555555555557,8,180,293.2173333333338,136.62110145134145,0.0,0.0,593.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,5,AggregateLoadAttack,55.73229050279328,1175.151536094425,428.0777777777778,8,180,292.4293333333337,136.33757959809438,0.0,0.0,666.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,5,AggregateLoadAttack,55.53743016759775,1160.4258861333358,423.23333333333335,8,180,292.235555555555,136.20796918365545,0.0,0.0,739.0,125000.0,0.0,0.0,1.0,1.0
