window_id,t_start_s,t_end_s,label,config,mean_IAT_us,IAT_variance_us2,mean_frame_size_B,burst_length,frame_count,phase_offset_mean_us,phase_offset_std_us,gate_drop_rate,meter_red_rate,queue_depth_max,sync_interval_mean,sync_interval_var,correction_field_delta,announce_rate,source_count
0,0.0,0.01,5,AggregateLoadAttack,-146.09942870602188,-63.151882419429164,-72.89325842696627,5.0,105.9363016156407,-34.896270524621876,71.60742587012899,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,5,AggregateLoadAttack,-144.39805113647316,-64.39805714745121,-74.34444444444443,5.0,109.09857927580909,-36.13905020582357,73.15630995646855,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,5,AggregateLoadAttack,-144.39805113647316,-63.85324054420941,-74.34444444444443,5.0,109.09857927580909,-38.26565410704012,71.72909019046315,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,5,AggregateLoadAttack,-144.39805113647324,-63.85324054420969,-74.34444444444443,5.0,109.09857927580909,-39.31156420397174,71.82592713468752,0.0,0.0,298.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,5,AggregateLoadAttack,-144.39805113647324,-64.39805714745113,-74.34444444444443,5.0,109.09857927580909,-37.18496030275596,72.93629043053767,0.0,0.0,371.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,5,AggregateLoadAttack,-144.39805113647307,-63.8532405442093,-74.34444444444443,5.0,109.09857927580909,-39.86930295978956,71.16091370914474,0.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.07,5,AggregateLoadAttack,-145.25053360082245,-63.66674606315472,-76.76666666666665,5.0,109.09857927580909,-38.78860915550647,71.3916283070273,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0
7,0.07,0.08,5,AggregateLoadAttack,-145.25053360082208,-63.757870989190764,-74.34444444444443,5.0,109.09857927580909,-37.184960302754426,72.1716806412103,0.0,0.0,591.0,0.0,0.0,0.0,0.0,0.0
8,0.08,0.09,5,AggregateLoadAttack,-144.39805113647324,-63.405899998212035,-71.92222222222222,5.0,109.09857927580909,-39.311564203970974,71.70228081274534,0.0,0.0,664.0,0.0,0.0,0.0,0.0,0.0
9,0.09,0.1,5,AggregateLoadAttack,-145.25053360082245,-63.66674606315541,-76.76666666666665,5.0,109.09857927580909,-39.83451925243962,71.48769733140824,0.0,0.0,737.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.11,5,AggregateLoadAttack,-145.25053360082245,-63.757870989190096,-74.34444444444443,5.0,109.09857927580909,-41.438168105187216,71.56639108045232,0.0,0.0,811.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.12,5,AggregateLoadAttack,-143.88554889006647,-62.98672508387234,-74.92178770949721,5.0,107.5174404457249,-41.38085640243707,71.35551867698557,0.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0
12,0.12,0.13,5,AggregateLoadAttack,-145.26177620213002,-63.22015174443349,-74.50555555555553,5.0,109.09857927580909,-38.92774398491923,70.5499845422474,0.0,0.0,956.0,0.0,0.0,0.0,0.0,0.0
13,0.13,0.14,5,AggregateLoadAttack,-145.31847801741895,-63.20934628686086,-74.50555555555553,5.0,109.09857927580909,-41.298133697151805,70.43444443837787,0.0,0.0,1028.0,0.0,0.0,0.0,0.0,0.0
14,0.14,0.15,5,AggregateLoadAttack,-145.26177620212962,-62.63017492809693,-74.34444444444443,5.0,109.09857927580909,-40.34398062132682,70.0102060008778,0.0,0.0,1102.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.01,4,CBSBoundaryAttack,-144.2158288199293,-63.356137926723505,-72.73295454545456,5.0,102.77402395547233,-36.990385532260156,73.77696996330145,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,4,CBSBoundaryAttack,-145.26177620212977,-63.28175377461719,-74.50555555555553,5.0,109.09857927580909,-39.81322922466239,70.74789001664921,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,4,CBSBoundaryAttack,-145.25053360082234,-63.093743860982975,-74.34444444444443,5.0,109.09857927580909,-40.52569550628821,70.69791187328548,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,4,CBSBoundaryAttack,-145.2617762021298,-62.70173179277579,-74.50555555555553,5.0,109.09857927580909,-41.33381698313236,69.64429152470005,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,4,CBSBoundaryAttack,-145.26177620212988,-63.29776967070845,-74.50555555555553,5.0,109.09857927580909,-41.277743248004434,70.48912944521061,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,4,CBSBoundaryAttack,-145.25053360082225,-63.14581919435325,-74.34444444444443,5.0,109.09857927580909,-42.59622567237499,70.1673459754654,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.07,4,CBSBoundaryAttack,-145.26177620212962,-63.26170825424253,-74.50555555555553,5.0,109.09857927580909,-40.720004492185545,70.89820964743977,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0
7,0.07,0.08,4,CBSBoundaryAttack,-144.35259192249117,-63.432448477968286,-74.34444444444443,5.0,109.09857927580909,-38.64167797789593,70.85137146308871,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0
8,0.08,0.09,4,CBSBoundaryAttack,-144.39805113647324,-62.16236443606468,-74.50555555555553,5.0,109.09857927580909,-41.2720459166272,68.75355713477062,0.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0
9,0.09,0.1,4,CBSBoundaryAttack,-144.35259192249117,-63.448464374060514,-74.34444444444443,5.0,109.09857927580909,-38.60689427054738,71.18864942875135,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.11,4,CBSBoundaryAttack,-144.39805113647324,-62.30636349525641,-74.50555555555553,5.0,109.09857927580909,-36.85061690880987,69.63594439120934,0.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.12,4,CBSBoundaryAttack,-144.40929373778044,-62.17782662247873,-74.50555555555553,5.0,109.09857927580909,-43.43343352519521,68.26316972280344,0.0,0.0,885.0,0.0,0.0,0.0,0.0,0.0
12,0.12,0.13,4,CBSBoundaryAttack,-144.35259192249117,-63.926043806519075,-74.34444444444443,5.0,109.09857927580909,-38.244364079270106,72.01496881901123,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0
13,0.13,0.14,4,CBSBoundaryAttack,-145.26177620212968,-63.05947011987701,-76.9277777777778,5.0,109.09857927580909,-38.238666747895934,70.59601619036745,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0
14,0.14,0.15,4,CBSBoundaryAttack,-145.26177620212962,-62.61212957388143,-74.50555555555553,5.0,109.09857927580909,-42.00370320920265,69.82496598369363,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.01,4,CBSExhaustionAttack,-144.20432924487778,-63.586746536504315,-72.73295454545456,5.0,102.77402395547233,-40.96396749292861,72.55700138282839,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,4,CBSExhaustionAttack,-145.26177620212977,-63.304118822730246,-74.50555555555553,5.0,109.09857927580909,-40.000641440999026,71.12394718204278,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,4,CBSExhaustionAttack,-145.25053360082234,-63.10975975707422,-74.34444444444443,5.0,109.09857927580909,-41.153001676810646,70.67435416440402,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,4,CBSExhaustionAttack,-145.2617762021298,-62.6505105180847,-74.50555555555553,5.0,109.09857927580909,-41.66816037707738,69.52317322835606,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,4,CBSExhaustionAttack,-145.2617762021298,-63.18897599011743,-74.50555555555553,5.0,109.09857927580909,-41.91284576672633,70.66379496015942,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,4,CBSExhaustionAttack,-145.26177620212968,-63.16447270777459,-74.34444444444443,5.0,109.09857927580909,-43.23012875291249,70.3219616140398,0.0,0.0,449.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.07,4,CBSExhaustionAttack,-145.2617762021296,-62.7721425499758,-74.50555555555553,5.0,109.09857927580909,-41.32602063493198,70.18895425149407,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0
7,0.07,0.08,4,CBSExhaustionAttack,-144.35259192249123,-63.346021824677116,-74.34444444444443,5.0,109.09857927580909,-39.45069903337822,70.70957758825195,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0
8,0.08,0.09,4,CBSExhaustionAttack,-144.39805113647324,-62.79678325820197,-74.50555555555553,5.0,109.09857927580909,-42.03069056835895,69.46859384227243,0.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0
